date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:50:20	13/13	---M--	200	added ('OK')	text/plain	etag:%225acac998-d%22	http://fsocy.com/robots.txt		(from )
16:50:20	63246/63246	---MCZ	200	added ('OK')	text/html	etag:W/%22479d3dc86bc97132834a9d72519b26f5%22	http://fsocy.com/?_l=en	C:/Users/Dgn/Desktop/ocy_en/fsocy.com/index9aab.html	(from )
16:50:21	18278/18278	---MCZ	200	added ('OK')	text/css	date:Thu,%2003%20Jan%202019%2005:12:01%20GMT	../static.websiteonline.cn/website/template/default/css/default.css?v=15464922	C:/Users/Dgn/Desktop/ocy_en/static.websiteonline.cn/website/template/default/css/default4fb8.css	(from http://fsocy.com/?_l=en)
16:50:21	64/64	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Aug%202014%2006:46:11%20GMT	../static.websiteonline.cn/website/plugin/media/css/media.css?v=14077216	C:/Users/Dgn/Desktop/ocy_en/static.websiteonline.cn/website/plugin/media/css/media188c.css	(from http://fsocy.com/?_l=en)
16:50:21	1158/1158	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20May%202016%2003:29:00%20GMT	../static.websiteonline.cn/website/plugin/title/css/title.css?v=14636284	C:/Users/Dgn/Desktop/ocy_en/static.websiteonline.cn/website/plugin/title/css/title13eb.css	(from http://fsocy.com/?_l=en)
16:50:21	6126/6126	---MCZ	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202017%2002:12:00%20GMT	../static.websiteonline.cn/website/plugin/unslider/css/unslider.css?v=15005166	C:/Users/Dgn/Desktop/ocy_en/static.websiteonline.cn/website/plugin/unslider/css/unsliderceec.css	(from http://fsocy.com/?_l=en)
16:50:21	5190/5190	---MCZ	200	added ('OK')	text/css	date:Wed,%2011%20Oct%202017%2001:12:00%20GMT	../static.websiteonline.cn/website/plugin/effectimage/css/effectimage.css?v=15076842	C:/Users/Dgn/Desktop/ocy_en/static.websiteonline.cn/website/plugin/effectimage/css/effectimage107b.css	(from http://fsocy.com/?_l=en)
16:50:22	66/66	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Aug%202014%2006:46:10%20GMT	../static.websiteonline.cn/website/plugin/graphic/css/graphic.css?v=14077216	C:/Users/Dgn/Desktop/ocy_en/static.websiteonline.cn/website/plugin/graphic/css/graphic188c.css	(from http://fsocy.com/?_l=en)
16:50:23	518665/518665	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2008%20May%202019%2006:22:01%20GMT	../static.websiteonline.cn/website/script/??jquery-1.6.4.js,jquery.custom.js,jquery.lazyload.js,jquery.rotateutility.js,lab.js,wopop_all.js,jquery.cookie.js,jquery.simplemodal.js,fullcollumn.js,objectFitPolyfill.min.js,ierotate.js,effects/velocity.js,effects/velocity.ui.js,effects/effects.js,fullpagescroll.js,common.js,heightAdapt.js?v=15572964	C:/Users/Dgn/Desktop/ocy_en/static.websiteonline.cn/website/script/indexb8f9.html	(from http://fsocy.com/?_l=en)
16:50:24	33897/33897	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2025%20Jul%202018%2001:32:01%20GMT	../static.websiteonline.cn/website/plugin/??media/js/init.js,new_navigation/js/overall.js,new_navigation/styles/hs10/init.js,unslider/js/init.js,effectimage/js/init.js?v=15324822	C:/Users/Dgn/Desktop/ocy_en/static.websiteonline.cn/website/plugin/index068e.html	(from http://fsocy.com/?_l=en)
16:50:24	16465/16465	---MCZ	200	added ('OK')	text/css	etag:e14548121e9eda21aa015ebc76090039	http://fsocy.com/e14548121e9eda21aa015ebc76090039.cssx	C:/Users/Dgn/Desktop/ocy_en/fsocy.com/e14548121e9eda21aa015ebc76090039.css	(from http://fsocy.com/?_l=en)
16:50:24	43/43	---M--	200	added ('OK')	image/gif	date:Fri,%2015%20Aug%202014%2006:46:11%20GMT	../static.websiteonline.cn/website/template/default/images/blank.gif	C:/Users/Dgn/Desktop/ocy_en/static.websiteonline.cn/website/template/default/images/blank.gif	(from http://fsocy.com/?_l=en)
16:50:24	16301/16301	---MCZ	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202017%2002:39:14%20GMT	../hk8db36e.pic30.websiteonline.cn/upload/logo2.png	C:/Users/Dgn/Desktop/ocy_en/hk8db36e.pic30.websiteonline.cn/upload/logo2.png	(from http://fsocy.com/?_l=en)
16:50:24	1617/1617	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2017%20Feb%202016%2008:11:00%20GMT	../static.websiteonline.cn/website/plugin/multilingual/styles/custom4/images/sitestar-lan-ver-chines1.jpg	C:/Users/Dgn/Desktop/ocy_en/static.websiteonline.cn/website/plugin/multilingual/styles/custom4/images/sitestar-lan-ver-chines1.jpg	(from http://fsocy.com/?_l=en)
16:50:24	2643/2643	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202017%2007:54:00%20GMT	../static.websiteonline.cn/website/plugin/multilingual/styles/custom4/images/sitestar-lan-ver-english1.jpg	C:/Users/Dgn/Desktop/ocy_en/static.websiteonline.cn/website/plugin/multilingual/styles/custom4/images/sitestar-lan-ver-english1.jpg	(from http://fsocy.com/?_l=en)
16:50:25	1354/1354	---MCZ	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202017%2000:55:52%20GMT	../hk8db36e.pic30.websiteonline.cn/upload/templatefiles/teob.png	C:/Users/Dgn/Desktop/ocy_en/hk8db36e.pic30.websiteonline.cn/upload/templatefiles/teob.png	(from http://fsocy.com/?_l=en)
16:50:25	1462/1462	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2015%20Aug%202014%2006:46:09%20GMT	../static.websiteonline.cn/website/plugin/new_navigation/styles/hs10/m_19_VyyP.jpg	C:/Users/Dgn/Desktop/ocy_en/static.websiteonline.cn/website/plugin/new_navigation/styles/hs10/m_19_VyyP.jpg	(from http://fsocy.com/?_l=en)
16:50:25	64337/64337	---MCZ	200	added ('OK')	text/html	etag:W/%225f734558ffdbc895439cb05ad522f82a%22	http://fsocy.com/page85?_l=en	C:/Users/Dgn/Desktop/ocy_en/fsocy.com/page859aab.html	(from http://fsocy.com/?_l=en)
16:50:26	63246/63246	---MCZ	200	added ('OK')	text/html	etag:W/%22479d3dc86bc97132834a9d72519b26f5%22	http://fsocy.com/	C:/Users/Dgn/Desktop/ocy_en/fsocy.com/index.html	(from http://fsocy.com/?_l=en)
16:50:27	119126/119126	---MCZ	200	added ('OK')	text/html	etag:W/%224cc0b59dc794a0ffa7e56378f222e3de%22	http://fsocy.com/page88?_l=en	C:/Users/Dgn/Desktop/ocy_en/fsocy.com/page889aab.html	(from http://fsocy.com/?_l=en)
16:50:28	84554/84554	---MCZ	200	added ('OK')	text/html	etag:W/%22158e2efda8338211a0f0689d410f4d64%22	http://fsocy.com/page90?_l=en	C:/Users/Dgn/Desktop/ocy_en/fsocy.com/page909aab.html	(from http://fsocy.com/?_l=en)
16:50:28	73557/73557	---MCZ	200	added ('OK')	text/html	etag:W/%22fa070ccce1a2c058092bd57c8fa190b6%22	http://fsocy.com/page91?_l=en	C:/Users/Dgn/Desktop/ocy_en/fsocy.com/page919aab.html	(from http://fsocy.com/?_l=en)
16:50:28	1406/1406	---MCZ	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202017%2000:55:52%20GMT	../hk8db36e.pic30.websiteonline.cn/upload/templatefiles/tou_04_8enr.png	C:/Users/Dgn/Desktop/ocy_en/hk8db36e.pic30.websiteonline.cn/upload/templatefiles/tou_04_8enr.png	(from http://fsocy.com/?_l=en)
16:50:32	14537/14537	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2007:14:24%20GMT	../hk8db36e.pic30.websiteonline.cn/upload/gundong003_hbhk.jpg	C:/Users/Dgn/Desktop/ocy_en/hk8db36e.pic30.websiteonline.cn/upload/gundong003_hbhk.jpg	(from http://fsocy.com/?_l=en)
16:50:33	19049/19049	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2007:14:24%20GMT	../hk8db36e.pic30.websiteonline.cn/upload/gundong002_pcef.jpg	C:/Users/Dgn/Desktop/ocy_en/hk8db36e.pic30.websiteonline.cn/upload/gundong002_pcef.jpg	(from http://fsocy.com/?_l=en)
16:50:35	13325/13325	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2007:14:24%20GMT	../hk8db36e.pic30.websiteonline.cn/upload/gundong001_7m9w.jpg	C:/Users/Dgn/Desktop/ocy_en/hk8db36e.pic30.websiteonline.cn/upload/gundong001_7m9w.jpg	(from http://fsocy.com/?_l=en)
16:50:36	15284/15284	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2007:14:24%20GMT	../hk8db36e.pic30.websiteonline.cn/upload/gundong004_2wk3.jpg	C:/Users/Dgn/Desktop/ocy_en/hk8db36e.pic30.websiteonline.cn/upload/gundong004_2wk3.jpg	(from http://fsocy.com/?_l=en)
16:50:38	19331/19331	---MCZ	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202017%2003:40:59%20GMT	../hk8db36e.pic30.websiteonline.cn/upload/ss1d.jpg	C:/Users/Dgn/Desktop/ocy_en/hk8db36e.pic30.websiteonline.cn/upload/ss1d.jpg	(from http://fsocy.com/?_l=en)
16:50:39	1108/1108	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Aug%202014%2006:46:11%20GMT	../static.websiteonline.cn/website/plugin/media/images/hotspot_ico_show_right.png	C:/Users/Dgn/Desktop/ocy_en/static.websiteonline.cn/website/plugin/media/images/hotspot_ico_show_right.png	(from http://fsocy.com/?_l=en)
16:50:40	63246/63246	---MCZ	200	added ('OK')	text/html	etag:W/%22479d3dc86bc97132834a9d72519b26f5%22	http://fsocy.com/page72?_l=en	C:/Users/Dgn/Desktop/ocy_en/fsocy.com/page729aab.html	(from http://fsocy.com/?_l=en)
